collected_at,media_id,item_id,tiktok_id,slot_id,scheduled_at,published_at,age_hours,age_label,is_trial,duration_seconds,views,reach,likes,comments,shares,saved,total_interactions,ig_reels_avg_watch_time,error
2026-08-16T05:38:10.913331+00:00,17902106994540777,q_20260808T194100_7276110548935249158,7276110548935249158,we-evening,2026-08-08T16:50:28.784159-03:00,2026-08-08T19:54:42.487723+00:00,177.7,d7,false,60.211,3107,2477,227,3,20,33,305,14461,
2026-08-16T05:38:10.913331+00:00,18071365538453772,q_20260814T184200_7255074217979383046,7255074217979383046,wd-morning,2026-08-14T09:02:00-03:00,2026-08-14T13:38:20.851213+00:00,40.0,h24,false,97.502,2269,1920,117,2,15,18,159,6477,
2026-08-16T05:38:10.913331+00:00,18068795921516103,q_20260814T083200_7175523555927411974,7175523555927411974,wd-night,2026-08-14T21:26:00-03:00,2026-08-15T01:10:14.131481+00:00,28.5,h24,false,51.573,1101,917,63,0,1,11,75,6950,
2026-08-17T05:45:00.583054+00:00,18092472602100302,q_20260809T104300_7146966322545446149,7146966322545446149,we-late-am,2026-08-09T10:13:00-03:00,2026-08-09T15:47:32.548518+00:00,182.0,d7,false,48.043,1168,959,53,2,2,5,65,5432,
2026-08-17T05:45:00.583054+00:00,18610291504060416,q_20260809T221300_7288713801967488262,7288713801967488262,we-evening,2026-08-09T18:16:00-03:00,2026-08-09T21:48:32.780838+00:00,175.9,d7,false,59.328,21380,18183,1837,7,144,177,2289,15907,
2026-08-17T05:45:00.583054+00:00,17946133278257514,q_20260815T110000_7264173841973316870,7264173841973316870,we-late-am,2026-08-15T10:30:00-03:00,2026-08-15T13:39:20.387417+00:00,40.1,h24,false,22.316,4621,3802,342,6,17,25,421,6952,
2026-08-17T05:45:00.583054+00:00,18117491948304894,q_20260815T220300_7256061139488869637,7256061139488869637,we-evening,2026-08-15T18:31:00-03:00,2026-08-15T21:32:20.998598+00:00,32.2,h24,false,38.337,6764,5638,437,2,58,73,605,9965,
2026-08-18T05:39:25.890980+00:00,18116742784955148,q_20260810T181600_7170318082446019845,7170318082446019845,wd-lunch,2026-08-10T12:13:00-03:00,2026-08-10T15:17:20.427567+00:00,182.4,d7,false,41.367,5351,4082,242,3,19,35,316,12068,
2026-08-18T05:39:25.890980+00:00,18276323818294862,q_20260810T090400_7282146253863947525,7282146253863947525,wd-commute,2026-08-10T18:31:00-03:00,2026-08-10T22:21:03.948117+00:00,175.3,d7,false,74.143,32638,27686,3679,32,452,472,5027,15447,
2026-08-18T05:39:25.890980+00:00,18022052273698754,q_20260816T194000_7248389240256548101,7248389240256548101,we-late-am,2026-08-16T10:27:00-03:00,2026-08-16T13:41:10.615836+00:00,40.0,h24,false,41.077,6352,5247,300,2,37,51,415,9540,
2026-08-18T05:39:25.890980+00:00,18024670847895103,q_20260816T105700_7266803953864641798,7266803953864641798,we-evening,2026-08-16T18:40:00-03:00,2026-08-16T21:52:58.302210+00:00,31.8,h24,false,34.901,5061,4275,291,2,16,31,365,8297,
2026-08-19T05:40:35.150262+00:00,18090115040534861,q_20260811T084100_7261719493234265349,7261719493234265349,wd-lunch,2026-08-11T12:26:00-03:00,2026-08-11T16:11:26.646725+00:00,181.5,d7,false,54.7,1860,1526,90,1,5,10,112,6149,
2026-08-19T05:40:35.150262+00:00,18103097249334865,q_20260811T205300_7279779784622738693,7279779784622738693,wd-afternoon,2026-08-11T17:12:00-03:00,2026-08-11T21:05:19.155043+00:00,176.6,d7,false,61.975,34604,28422,2815,11,292,291,3615,14283,
2026-08-19T05:40:35.150262+00:00,18345003265301895,q_20260817T115900_7136538019363867910,7136538019363867910,wd-morning,2026-08-17T08:58:00-03:00,2026-08-17T13:03:46.161762+00:00,40.6,h24,false,45.814,1773,1470,111,2,4,16,143,6619,
2026-08-19T05:40:35.150262+00:00,18091202318434512,q_20260817T181500_7144801859243478277,7144801859243478277,wd-commute,2026-08-17T18:30:00-03:00,2026-08-17T21:38:03.419953+00:00,32.0,h24,false,42.8,8563,6936,606,4,34,83,769,16394,
2026-08-20T05:40:27.104714+00:00,17933278464363217,q_20260812T120000_7249095247077199109,7249095247077199109,wd-morning,2026-08-12T09:35:00-03:00,2026-08-12T13:47:00.364954+00:00,183.9,d7,false,26.681,5973,4734,278,1,19,32,347,9291,
2026-08-20T05:40:27.104714+00:00,18212520175348703,q_20260818T182900_7162282370211532037,7162282370211532037,wd-morning,2026-08-18T09:12:00-03:00,2026-08-18T13:05:12.188510+00:00,40.6,h24,false,27.61,1563,1311,83,1,7,11,104,4360,
2026-08-20T05:40:27.104714+00:00,18094417601154668,q_20260818T084200_7232386311330581765,7232386311330581765,wd-night,2026-08-18T21:30:00-03:00,2026-08-19T01:50:10.836640+00:00,27.8,h24,false,70.195,682,547,26,0,4,3,37,4581,
2026-08-21T05:43:05.524103+00:00,18140927077563854,q_20260813T184200_7172658171608141061,7172658171608141061,wd-morning,2026-08-13T09:11:00-03:00,2026-08-13T13:43:02.022834+00:00,184.0,d7,false,34.669,2495,1993,139,4,7,14,173,6544,
2026-08-21T05:43:05.524103+00:00,18083325593265583,q_20260812T180000_7278034913729907974,7278034913729907974,wd-commute,2026-08-13T18:57:00-03:00,2026-08-13T22:23:36.151571+00:00,175.3,d7,false,61.604,99265,85409,7971,31,935,1058,10854,13911,
2026-08-21T05:43:05.524103+00:00,18112566904778261,q_20260819T083800_7261262427470171398,7261262427470171398,wd-morning,2026-08-19T09:08:00-03:00,2026-08-19T13:06:17.467550+00:00,40.6,h24,false,60.167,2284,1960,184,4,7,21,231,8274,
2026-08-21T05:43:05.524103+00:00,18619523797025717,q_20260819T181100_7260602106560662790,7260602106560662790,wd-afternoon,2026-08-19T16:40:00-03:00,2026-08-19T19:57:11.970948+00:00,33.8,h24,false,69.8,1701,1370,128,0,5,24,168,7846,
2026-08-22T05:37:32.997840+00:00,18071365538453772,q_20260814T184200_7255074217979383046,7255074217979383046,wd-morning,2026-08-14T09:02:00-03:00,2026-08-14T13:38:20.851213+00:00,184.0,d7,false,97.502,3020,2484,151,3,21,19,203,6270,
2026-08-22T05:37:32.997840+00:00,18068795921516103,q_20260814T083200_7175523555927411974,7175523555927411974,wd-night,2026-08-14T21:26:00-03:00,2026-08-15T01:10:14.131481+00:00,172.5,d7,false,51.573,1590,1311,82,1,1,12,98,6195,
2026-08-22T05:37:32.997840+00:00,18111496762950623,q_20260820T210700_7186376198358928645,7186376198358928645,wd-morning,2026-08-20T09:08:00-03:00,2026-08-20T13:08:28.147043+00:00,40.5,h24,false,17.95,3159,2349,181,1,21,32,254,8134,
2026-08-22T05:37:32.997840+00:00,18128940715736507,q_20260820T122200_7281383855074921733,7281383855074921733,wd-afternoon,2026-08-20T16:30:00-03:00,2026-08-20T19:41:53.419081+00:00,33.9,h24,false,65.7,4511,3702,319,2,25,59,419,13681,
